"table_name","row_count"
"osm_waterways_lines","833253"
"osm_transport_points","91627"
"osm_transport_polygons","935"
"osm_traffic_points","98860"
"osm_traffic_polygons","45623"
"osm_railways_lines","14008"
"osm_points_of_interest_points","117677"
"osm_points_of_interest_polygons","45825"
"osm_places_of_worship_points","311"
"osm_places_of_worship_polygons","2520"
"osm_places_points","178997"
"osm_places_polygons","5689"
"osm_natural_points","119725"
"osm_natural_polygons","6665"
"osm_roads_lines","1741929"
"osm_buildings_polygons","4147645"
"osm_landuse_polygons","541452"
"osm_water_polygons","1861199"
